1,java,2019/1/10 17:44,2019/1/10 17:44,1,FALSE,FALSE
2,python,2019/1/11 18:44,2019/1/11 17:44,1,TRUE,TRUE
3,javascript,2019/1/12 19:44,2019/1/12 17:44,1,FALSE,FALSE
4,php,2019/1/12 18:44,2019/1/12 17:44,2,FALSE,TRUE
5,人工智能,2019/1/13 18:44,2019/1/13 17:44,2,TRUE,TRUE
6,算法,2019/1/13 17:44,2019/1/13 17:44,2,FALSE,FALSE
7,数据库,2019/1/14 17:44,2019/1/14 17:44,3,TRUE,FALSE
8,区块链,2019/1/15 17:44,2019/1/15 17:44,3,TRUE,TRUE
9,前端,2019/1/15 17:44,2019/1/15 17:44,4,FALSE,FALSE
10,后端,2019/1/16 17:44,2019/1/16 17:44,4,FALSE,FALSE
